Employee_ID,Gender,Years_Exp,Years_Seniority,Edu_Level,Perf,Job_Role,Job_Family,Job_Level,Job_Location,Market_Median,Salary,Bonus_FY,Total_Compensation
269715XN,Male,17.9,0.8,masters,,Chief Executive Officer,Leadership,Executive-Level,"San Francisco, CA",4185017.85,2449867.7,1225000.2,3674866.5
11324975,Female,25,22.9,doctorate,,Chief Operating Officer,Leadership,Executive-Level,"San Francisco, CA",1082084.12,742964.8,372500.9,1115464
35645BZB,Female,20.4,11.8,doctorate,,Chief Financial Officer,Leadership,Executive-Level,"San Francisco, CA",1182923.43,514671.4,257500.9,772171.1
783731F7,Male,23.3,4.1,doctorate,,Chief Information Officer,Leadership,Executive-Level,"San Francisco, CA",1006076.76,509194.7,255000.9,764194.6
34718QIA,Female,19,1.7,doctorate,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,398064.6,200000.3,598063
8939353Y,Male,22.1,3.8,doctorate,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,390258.6,195000.2,585258.1
37585FOD,Female,25.7,1.3,masters,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,390258.6,195000.5,585258.7
385703IC,Male,21.6,7.5,doctorate,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,378551.3,190000,568550.7
48860BG9,Female,21.6,18.6,doctorate,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,359038.9,180000.8,539037.6
216976R2,Male,15.9,5.3,doctorate,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,355135,177500.1,532635.3
64894PMN,Male,21.8,6.6,masters,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,351233.4,175000.6,526232.5
88341MC2,Male,18.5,16.3,doctorate,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,343427.3,172500.4,515927.6
82642RD2,Male,17.1,8.7,masters,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,335622.7,167500.6,503122.2
92651SXZ,Male,21,6.3,doctorate,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,331720.5,165000,496719
271620LS,Male,19.4,2.6,masters,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,331720.2,165000.1,496719.7
60697TDP,Female,20.8,18.2,masters,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,320012.3,160000.2,480011.1
5684536K,Male,19.8,1.4,doctorate,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,312207.2,155000,467206.1
760090X9,Male,20.1,8.9,doctorate,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,312207.5,155000.8,467206.1
17814P4Q,Female,23.4,15.7,doctorate,,Vice Presidents,Leadership,Executive-Level,"San Francisco, CA",639996.89,296597.2,147500.7,444096.1
1770417D,Female,13.6,8.8,doctorate,4,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,295809.4,132500.3,428308.4
787555DV,Male,13.4,1.6,masters,5.4,Director,Leadership,Management-Level,"Los Angeles, CA",411795.46,277759.5,140000.4,417759.6
89429HKM,Female,13.2,2.1,masters,3.4,Director,Leadership,Management-Level,"New York, NY",444824.64,295410,117500.6,412909.5
16212BAV,Female,10.2,3,doctorate,3.4,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,292965.1,117500.9,410464.6
55491ZA0,Female,14.5,4.8,masters,2.8,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,295809.5,102500.8,398308.3
58566EUD,Female,12.3,8.7,masters,2.6,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,292965.3,102500.2,395464.2
65664OW9,Female,10.9,8.1,doctorate,4.1,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,267366,120000.5,387365
357210QS,Female,11.8,3.6,masters,2.6,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,287276.2,100000.1,387275.8
17995N6O,Female,15.4,0.5,masters,4.3,Director,Leadership,Management-Level,"Chicago, IL",254015.78,263105.6,117500.5,380605.2
51786TMB,Female,14.2,1.6,doctorate,2.9,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,281587.7,97500.5,379087.2
20316MB4,Female,11.3,10.5,masters,2.2,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,278743.8,97500.7,376243.1
897413P0,Female,11,10.4,masters,4.8,Director,Leadership,Management-Level,"Boston, MA",385894.88,258151.5,115000.6,373150.7
57592SQ8,Female,10.1,2.3,masters,4.9,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,255989,115000.5,370988.7
32228MZX,Male,13.7,3.4,masters,3.6,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,264521.2,105000.7,369521.3
8097170Q,Male,14.2,8.7,doctorate,2.8,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,273054.5,95000.6,368054.7
41615TUJ,Male,10.6,8.5,masters,2.6,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,267366.2,92500.1,359865.9
705977GC,Female,14.2,12.4,doctorate,2.6,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,267366.9,92500.4,359865.1
707377TL,Female,12.9,3.3,doctorate,2.9,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,261677.9,92500.6,354177.9
462599LM,Male,14.3,4.6,masters,3.4,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,250300.1,100000.9,350299
82726IAZ,Female,10.7,5.9,doctorate,2.1,Director,Leadership,Management-Level,"Denver, CO",269223.46,253593.9,90000.8,343593.3
56486OH1,Male,12.2,6.2,masters,3.9,Director,Leadership,Management-Level,"Boston, MA",385894.88,242183.2,97500.9,339682.3
43204E2H,Male,12.7,9.9,doctorate,3.9,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,241767.8,97500.6,339266.8
58721MD6,Female,14.7,11.2,doctorate,4.7,Director,Leadership,Management-Level,"Denver, CO",269223.46,225416.6,102500.4,327916.9
89440ANO,Female,15.7,11.7,masters,5.2,Director,Leadership,Management-Level,"Atlanta, GA",255441.5,217532.2,110000.9,327532
59393P6L,Male,10.3,8.3,doctorate,3.6,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,230390.6,92500.2,322889
32283V30,Male,11.2,9.5,masters,2.8,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,236078.2,82500.8,318578.5
69697SRI,Male,12.5,8.6,doctorate,3.6,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,224701.1,90000.9,314701.2
